station_name,timestamp,free_bikes,empty_slots,avg_rrating,avg_rdist,best_rratingname,best_rrating,best_rdist,avg_prating,avg_pdist,best_pratingname,best_prating,best_pdist
Dunsmuir & Beatty,2025-04-28T21:24:37.361477+00:00Z,22,4,4.34,399.46,The Magnet,4.7,304.76558666081127,4.39,580.14,Reform Pilates,5.0,506.746567323188
Robson & Granville,2025-04-28T21:24:37.512558+00:00Z,11,12,4.26,444.02,Mount Everest Kitchen & Grill,4.6,477.5842243435445,4.16,511.63,Reform Pilates,5.0,821.9322341994581
4th & Commercial,2025-04-28T21:24:38.387904+00:00Z,0,13,4.13,293.7,Cozen,4.5,517.489851835404,2.67,1065.88,Spartacus Gym,4.0,454.6330554643145
8th & Scotia,2025-04-28T21:24:38.383624+00:00Z,1,8,4.08,216.19,Carp,4.4,286.6548238444715,3.12,1253.77,Tone Pilates,5.0,1505.4433012040136
Homer & Robson (Vancouver Public Library),2025-04-28T21:24:37.385066+00:00Z,9,11,4.32,464.96,The Magnet,4.7,473.38162523197343,4.19,561.72,Reform Pilates,5.0,699.8432232782354
7th & Granville,2025-04-28T21:24:37.513339+00:00Z,3,11,4.27,530.91,Mazahr Lebanese Kitchen,4.7,413.45222933319997,3.46,765.17,Beyond Pilates,5.0,454.69418240410977
Harwood & Bute,2025-04-28T21:24:37.564569+00:00Z,17,2,4.39,616.94,Desi Indian Lounge,5.0,492.4887746779695,4.08,1266.83,Core Community,5.0,1679.6222256540452
Creekside Park North,2025-04-28T21:24:38.262476+00:00Z,2,15,4.15,657.04,Miku,4.4,1466.3538350066092,4.46,1086.72,Reform Pilates,5.0,1091.7729319933756
Nicola & Robson,2025-04-28T21:24:37.624669+00:00Z,6,9,4.25,309.92,The Red Accordion,4.6,197.74726352503774,3.6,895.31,The Well by Kunye,5.0,246.7348464798108
10th & Commercial,2025-04-28T21:24:38.388178+00:00Z,5,19,4.18,401.79,Kokomo,4.9,848.8648670526803,2.9,1654.09,Evolution Fitness and Lagree,5.0,1238.330796437103
10th & Cambie,2025-04-28T21:24:37.360952+00:00Z,27,8,4.16,314.51,The Greek By Anatoli - Broadway,4.4,146.33441210382267,3.71,743.59,Tone Pilates,5.0,635.3266201168669
Quebec & 1st,2025-04-28T21:24:38.311342+00:00Z,3,8,3.88,604.54,Blaze Gourmet Burgers,4.4,416.3978597180296,4.31,1422.68,Pilates Process - Vancouver,5.0,900.2083418322431
Lakewood & Oxford,2025-04-28T21:24:38.399608+00:00Z,6,11,3.94,464.28,Caffe La Tana,4.5,992.1439675949397,4.3,1125.84,Oxygen Yoga & Fitness,4.3,1125.8408857851505
Carolina & Great Northern Way,2025-04-28T21:24:38.392617+00:00Z,10,5,4.38,721.7,Word.,5.0,88.17561309633989,3.11,1306.43,Trainor Movement,5.0,1301.4576075671227
Columbia & 5th,2025-04-28T21:24:38.263822+00:00Z,0,18,4.09,497.31,Yume Dining,4.5,282.6121335617658,4.33,1135.06,Tone Pilates,5.0,719.1962248596478
East Blvd & 37th,2025-04-28T21:24:38.397215+00:00Z,3,15,4.09,488.21,Ramen DANBO,4.7,475.77021360815223,1.67,910.24,Alignmethod,5.0,1184.2275320961678
Trafalgar & Cornwall,2025-04-28T21:24:38.396673+00:00Z,11,9,4.32,783.65,Casereccio Foods,4.6,1092.0158765599165,3.66,1202.13,Core Community,5.0,1265.1505943671575
5th & Arbutus,2025-04-28T21:24:37.779987+00:00Z,6,10,4.27,388.11,Casereccio Foods,4.6,458.3730350452057,3.91,723.42,Core Community,5.0,335.4728033614081
Stanley Park - Information Booth,2025-04-28T21:24:38.383967+00:00Z,19,0,4.17,747.58,The Red Accordion,4.6,857.4436879247544,2.8,1262.35,The Well by Kunye,5.0,815.0014511464849
14th & Main,2025-04-28T21:24:37.871376+00:00Z,1,12,4.06,349.6,Song,4.4,539.926609646857,3.35,1391.46,Evolution Fitness and Lagree,5.0,1576.098750794963
Georgia & Main,2025-04-28T21:24:38.382765+00:00Z,7,13,4.2,263.72,The Darkside,4.7,112.59508784221862,4.15,1053.93,Reform Pilates,5.0,947.4155289329148
Agronomy & East Mall,2025-04-28T21:24:38.401676+00:00Z,9,8,3.78,534.18,Pho with Us,4.7,506.9583624219071,1.5,577.24,Golds Gym,1.5,577.2354603550086
Alma & Point Grey,2025-04-28T21:24:38.395205+00:00Z,13,11,4.28,782.14,Uncle Pu's Sichuan Taste,5.0,1219.4035662826025,4.57,1021.74,Boditree Pilates & Healing,5.0,497.70851939063374
20th & Main,2025-04-28T21:24:38.398907+00:00Z,5,11,4.3,369.74,Suyo Modern Peruvian,4.5,149.67854972956863,3.41,1237.25,Evolution Fitness and Lagree,5.0,1481.3579630043557
Nelson & Mainland,2025-04-28T21:24:37.557158+00:00Z,4,15,4.35,284.87,Okeya Kyujiro,4.9,99.15693206025308,4.1,650.05,Reform Pilates,5.0,1098.707247755643
Point Grey & Blenheim,2025-04-28T21:24:38.395984+00:00Z,5,9,4.36,719.28,Uncle Pu's Sichuan Taste,5.0,847.348299888809,3.91,978.88,Boditree Pilates & Healing,5.0,749.3638260232079
Yukon & 6th,2025-04-28T21:24:38.264242+00:00Z,13,3,4.21,535.53,Happy Noodle House,4.6,1515.8156894741874,4.4,1124.88,Tone Pilates,5.0,481.8903178861819
Burrard & 7th,2025-04-28T21:24:37.872438+00:00Z,5,11,4.3,465.88,Casereccio Foods,4.6,855.395684997107,3.41,622.8,Core Community,5.0,357.1302828740999
14th & Granville,2025-04-28T21:24:37.513626+00:00Z,4,9,4.29,420.88,Mazahr Lebanese Kitchen,4.7,304.93074589549843,3.55,1126.57,Core Community,5.0,1212.4797550974324
