station_name,latitude,longitude,timestamp,free_bikes,empty_slots
8th & Fraser,49.263382,-123.088837,2025-05-13T06:28:20.018335+00:00Z,2,14
Spanish Banks East,49.27594,-123.21482,2025-05-13T06:28:20.262001+00:00Z,15,5
Balaclava & 6th,49.266924,-123.173849,2025-05-13T06:28:20.221465+00:00Z,6,9
Cambie & Water,49.284605,-123.108662,2025-05-13T06:28:19.740674+00:00Z,21,11
Helmcken & Burrard,49.279938,-123.127478,2025-05-13T06:28:19.646059+00:00Z,0,16
Hornby & Pender,49.28602,-123.116624,2025-05-13T06:28:19.623165+00:00Z,1,18
7th & Heather,49.265089,-123.119425,2025-05-13T06:28:19.788572+00:00Z,8,10
Union & Dunlevy,49.277595,-123.09583,2025-05-13T06:28:19.957193+00:00Z,16,0
Richards & Helmcken,49.277141,-123.122589,2025-05-13T06:28:19.886359+00:00Z,5,10
Keefer & Abbott,49.279821,-123.10802,2025-05-13T06:28:19.740829+00:00Z,13,14
8th & Prince Edward,49.263518,-123.09568,2025-05-13T06:28:20.018546+00:00Z,3,15
